published_at,title,summary,source,overall_sentiment_score,overall_sentiment_label,relevance_score
20260215T082914,"Allstate Corp Acquires 513,560 Shares of Apple Inc. $AAPL","Allstate Corp significantly increased its stake in Apple Inc. by 1,753.7% in Q3, purchasing 513,560 shares, bringing its total holdings to 542,845 shares valued at approximately $138.23 million. Apple remains largely institutionally owned, with several other funds also adjusting their positions. Despite mixed news regarding Siri delays and regulatory scrutiny, Apple's strong iPhone momentum, recent legal victory, and solid Q3 earnings beat with a ""Moderate Buy"" consensus rating reinforce institutional confidence.",MarketBeat,0.159446,Somewhat-Bullish,1.000000
20260215T082810,Alliance Global Keeps a Neutral Rating on Canopy Growth Corporation (CGC),"Alliance Global has maintained a Neutral rating on Canopy Growth Corporation (CGC) but reduced its price objective from C$2.50 to C$1.80 after the company's fiscal third-quarter report. Canopy Growth reported a loss of C$0.18 per share, an improvement from the previous year, with revenue increasing to C$90.39 million. The company noted stronger fundamentals, particularly in Canada, and is focused on improving execution and the upcoming acquisition of MTL Cannabis.",Yahoo Finance UK,0.048858,Neutral,0.961498
20260215T031239,"Adventist Health System Sunbelt Boosts Apple Stake by 388,000 Shares","Adventist Health System Sunbelt Healthcare Corp, managed by Terry D Shaw, recently increased its investment in Apple Inc. (AAPL) by 388,000 shares. Despite mixed short-term moves, Apple shares are up significantly over the past year, with analysts maintaining a ""Moderate Buy"" stance due to strong factors like iPhone demand and AI integration, offsetting concerns about valuation. TipRanks' AI Analyst, Spark, rates AAPL as ""Outperform"" due to its strong financial performance and positive earnings outlook.",TipRanks,0.42764,Bullish,0.953080
20260215T030724,"Bridgewater Associates, LP Trims Apple Inc Stake Significantly","Bridgewater Associates, LP, led by Ray Dalio, recently reduced its stake in Apple Inc (AAPL) by 55,285 shares. Despite recent pullbacks, Apple stock has climbed significantly over the past year, with analysts generally maintaining a ""Moderate Buy"" view due to strong iPhone demand, expanding services, and AI developments. TipRanks' AI Analyst, Spark, rates AAPL as ""Outperform"" citing strong financials, although acknowledging a premium valuation and potential execution risks.",TipRanks,0.158635,Somewhat-Bullish,0.988487
20260215T030724,Progressive Investment Management Corp Cuts Apple Inc Stake,"Progressive Investment Management Corp, managed by Carsten Henningsen, has reduced its stake in Apple Inc. by 1,442 shares. Apple's stock shows ""Moderate Buy"" ratings from analysts with price targets around $300, driven by the iPhone 17 cycle, strong margins, and China demand, despite risks from valuation and rising memory costs. TipRanks' AI Analyst, Spark, rates Apple as ""Outperform"" due to strong financials and positive earnings outlook, balanced by mixed technical momentum and premium valuation.",TipRanks,0.049686,Neutral,1.000000
20260214T195754,Spotify stock price: SPOT rebounds to $458 — what to know before Wall Street reopens,"Spotify's (SPOT) stock rebounded to $458.34, up 2.8% on Friday, following an 8.5% drop on Thursday, ahead of a shortened trading week due to President's Day. The article discusses investor focus on Spotify's AI efforts and potential price hikes, the impact of falling Treasury yields and favorable CPI data, and upcoming market events like the FOMC meeting minutes. Spotify reported strong Q4 user growth and plans price changes, but faces challenges in balancing increased revenue with potential subscriber churn.",TechStock²,0.050898,Neutral,1.000000
20260214T195653,T-Mobile US Inc.: How America’s Un?Carrier Turned Its Network Into a Product Powerhouse,"T-Mobile US Inc. has strategically transformed its 5G network, services, and digital ecosystem into a compelling product, distinguishing itself from competitors like AT&T and Verizon. The company's ""Un-carrier"" philosophy, characterized by transparent pricing, bundled content, and an expanding 5G Home Internet offering, drives subscriber growth and influences investor valuation. This product-centric approach aims to provide a comprehensive customer experience, moving beyond mere network access to create a sticky, integrated digital life platform.",AD HOC NEWS,0.273193,Somewhat-Bullish,1.000000
20260214T182642,Berkshire CEO Abel praises Kraft Heinz for turnaround on planned split,"Berkshire Hathaway's new CEO, Greg Abel, has endorsed Kraft Heinz's decision to halt the planned separation of Kraft from Heinz. This move reverses a merger Warren Buffett helped orchestrate in 2015. Berkshire Hathaway, the largest shareholder of Kraft Heinz, supports the new CEO Steve Cahillane's decision to strengthen Kraft Heinz's ability to compete.",CNBC,0.133586,Neutral,1.000000
20260214T162002,SPDR S&P 500 ETF Trust Sees Outflows Amid AI Volatility,"The SPDR S&P 500 ETF Trust (SPY) has experienced a 1.83% decline in the past week and a net outflow of $2.36 billion over five days. This outflow is attributed to market sentiment regarding its major holdings, particularly due to volatility surrounding AI-related news from Nvidia (NVDA), Apple (AAPL), and Microsoft. While Nvidia shows strong growth expectations due to AI GPU dominance, Apple faces delays in AI features, and Microsoft is heavily investing in AI and cloud solutions.",TipRanks,0.182651,Somewhat-Bullish,1.000000
20260214T155741,$122 Million Quarterly Profit and 7% to 9% Growth Target: Why NJR Stock Is a $34 Million Portfolio Bet,"Bragg Financial Advisors increased its holdings in New Jersey Resources (NJR) by 205,627 shares, representing an estimated $9.50 million investment. This move highlights investor confidence in NJR's financial performance, including a $122.5 million net income and a raised full-year earnings per share guidance. NJR, a diversified energy services company, is targeting a sustained 7% to 9% earnings growth, driven by its regulated utility business and renewable energy investments.",The Motley Fool,0.367145,Bullish,1.000000
20260214T145615,Why Apple’s (AAPL) AI Rollout Timeline Is Raising Fresh Questions,"Apple Inc.'s AI roadmap is under renewed scrutiny from Evercore ISI due to anticipated delays in the Apple Intelligence 2.0 launch, potentially pushing it past the expected March timeline. The research firm noted recent testing headwinds and Apple's prioritization of privacy and seamless integration as reasons for a multi-phase release, with a complete Siri overhaul expected this fall. Despite these delays, Evercore maintains an Outperform rating and a $330 price target for the stock.",Insider Monkey,0.255263,Somewhat-Bullish,0.964053
20260214T143525,Why Apple's (AAPL) AI Rollout Timeline Is Raising Fresh Questions,"Apple's AI roadmap is under renewed scrutiny from Evercore ISI due to anticipated delays in its Apple Intelligence 2.0 launch, possibly pushing the release of new AI features and a Siri overhaul to mid-year or fall. Despite these potential delays, Evercore maintains an Outperform rating on AAPL with a $330 price target, emphasizing Apple's priority on privacy and seamless integration for its AI upgrades. The article suggests that while Apple is a strong investment, certain other AI stocks might offer greater upside and less risk.",Finviz - Stock Screener,-0.157308,Somewhat-Bearish,1.000000
20260214T124723,Broadcom (NASDAQ: AVGO) Stock Price Prediction and Forecast 2026-2030 (Feb 2026),"This article provides a stock price prediction and forecast for Broadcom (NASDAQ: AVGO) from 2026 to 2030, highlighting its strong position in the semiconductor and software sectors due to AI demand and strategic acquisitions. The authors anticipate significant growth, with the stock potentially more than doubling its current price by 2030, driven by AI networking demand, VMware integration, and robust financial performance. The forecast includes specific revenue, EPS, and price targets for each year through 2030.",24/7 Wall St.,0.307842,Somewhat-Bullish,1.000000
20260214T122733,"Pathward Financial, Inc. $CASH Stock Position Lowered by Principal Financial Group Inc.","Principal Financial Group Inc. significantly reduced its stake in Pathward Financial, Inc. (NASDAQ:CASH) by 23.5% in the third quarter, selling 34,116 shares. Despite this, Pathward Financial reported strong quarterly EPS of $1.57, surpassing estimates, though revenue of $173.1M missed expectations. The company maintains an average analyst ""Buy"" rating with a target price of $97.00.",MarketBeat,0.144265,Neutral,1.000000
20260214T122100,Why Apple’s (AAPL) AI Rollout Timeline Is Raising Fresh Questions,"Apple's AI rollout timeline is under renewed scrutiny from Evercore ISI due to potential delays in the Apple Intelligence 2.0 launch, initially expected in March. Headwinds during testing phases and a focus on privacy are reportedly causing these postponements. Despite these challenges, Evercore ISI maintains an Outperform rating on AAPL with a $330 price target, expecting a multi-phase AI release throughout the year.",Yahoo Finance UK,0.13783,Neutral,0.972125
20260214T114122,Tred Avon Family Wealth LLC Makes New Investment in Apple Inc. $AAPL,"Tred Avon Family Wealth LLC has acquired a new stake in Apple Inc. (NASDAQ:AAPL), purchasing 38,180 shares valued at approximately $9.72 million, making Apple its fourth-largest holding. This investment comes as Apple's stock shows strong performance, and as several other institutional investors also adjusted their positions in the company. Wall Street analysts maintain a ""Moderate Buy"" rating for Apple, with an average target price of $292.13, despite mixed sentiment regarding recent news like AI upgrade delays and regulatory risks.",MarketBeat,-0.069566,Neutral,0.960357
20260214T112625,Apple Inc. $AAPL Shares Sold by Sterling Investment Advisors LLC ADV,"Sterling Investment Advisors LLC ADV significantly reduced its stake in Apple Inc. ($AAPL) by 88.6% in the third quarter of 2025, selling 7,308 shares and retaining 936 shares valued at $238,000. Despite this sell-off by one firm, Apple reported strong earnings with EPS of $2.84 and revenue of $143.76 billion, both exceeding expectations. While some institutional investors trimmed their positions, others, like Citizens Financial Group Inc. RI, substantially increased their holdings in AAPL.",MarketBeat,0.143605,Neutral,1.000000
20260214T105738,"TCS, Infosys to Wipro: Should you buy the dip after AI-driven sell-off?","Indian IT majors like TCS, Infosys, and Wipro experienced a significant sell-off mirroring losses in US tech stocks, raising concerns about potential layoffs and weakened balance sheets. Experts suggest that a substantial recovery in Nasdaq-listed stocks is crucial for Indian IT companies, though their limited participation in last year's AI-fueled rally might protect them from further severe corrections. While an economic slowdown could impact Indian IT firms, the unwinding of the AI trade in the US is viewed as a potential positive from an Indian market perspective.",Mint,-0.222657,Somewhat-Bearish,1.000000
20260214T102706,ING Groep NV Buys New Position in Masimo Corporation $MASI,"ING Groep NV has acquired a new position in Masimo Corporation (NASDAQ:MASI) during the third quarter, purchasing 20,800 shares valued at approximately $3.07 million. Other institutional investors have also adjusted their holdings, with hedge funds and institutions collectively owning 85.96% of the company's stock. Masimo opened at $130.15, has a market cap of $6.99 billion, and analysts currently have a ""Hold"" rating on the stock with a consensus price target of $189.40.",MarketBeat,0.038431,Neutral,1.000000
20260214T102612,Apple Pushes Emergency iPhone Update After 'Extremely Sophisticated' Spyware Attack. Experts Say to Install Immediately,"Apple has released an urgent iOS 26.3 update to patch 39 security flaws and combat an ""extremely sophisticated"" spyware attack targeting iPhones. The vulnerability, related to the dyld (Dynamic Link Editor), could allow attackers to bypass security checks and gain control of personal data without user interaction. Experts emphasize the critical importance of immediately installing this update, warning that while often aimed at specific individuals, anyone could become ""collateral damage.""",Inc.com,-0.136413,Neutral,1.000000
20260214T095634,"Interactive Financial Advisors Inc. Sells 7,096 Shares of Apple Inc. $AAPL","Interactive Financial Advisors Inc. significantly reduced its stake in Apple Inc. by selling 7,096 shares, decreasing its holdings by 87.5% down to 1,011 shares. This comes despite Apple reporting strong quarterly earnings that beat analyst estimates, though the stock experienced a slight dip due to mixed headlines including Siri delays and FTC scrutiny. Institutional interest in Apple remains high, with other major investors like Norges Bank and Nuveen acquiring substantial new stakes, and the consensus analyst rating is a ""Moderate Buy.""",MarketBeat,-0.106939,Neutral,1.000000
20260214T095634,JCIC Asset Management Inc. Buys New Stake in Apple Inc. $AAPL,"JCIC Asset Management Inc. acquired a new stake in Apple Inc. worth approximately $22.28 million, making it their second-largest holding. This comes as Apple reported strong quarterly earnings, beating analyst expectations, and declared a quarterly dividend. The article also details other institutional investor activity and recent analyst ratings for Apple, which currently holds a ""Moderate Buy"" consensus.",MarketBeat,0.479543,Bullish,1.000000
20260214T095633,Massachusetts Financial Services Co. MA Raises Holdings in Apple Inc. $AAPL,"Massachusetts Financial Services Co. MA significantly increased its stake in Apple Inc. ($AAPL) by 13.0% in Q3, bringing its total holdings to over 28 million shares valued at approximately $7.23 billion. This makes Apple the firm's third-largest position, accounting for 2.2% of its portfolio. Apple recently reported strong quarterly earnings, beating analyst estimates with $2.84 EPS and $143.76 billion in revenue, but faces mixed investor sentiment due to potential delays in Siri AI updates, FTC scrutiny, and some institutional trimming of its shares.",MarketBeat,0.002658,Neutral,1.000000
20260214T092631,Quantum Portfolio Management LLC Has $14.26 Million Position in Apple Inc. $AAPL,"Quantum Portfolio Management LLC significantly increased its stake in Apple Inc. (AAPL) by 12.5% in the third quarter, bringing its holding to 56,008 shares valued at $14.26 million, making Apple its largest position. Other institutional investors also adjusted their holdings. Analysts maintain a ""Moderate Buy"" rating for Apple, with an average target price of $292.13, following strong quarterly earnings and iPhone sales.",MarketBeat,0.175109,Somewhat-Bullish,1.000000
20260214T085632,Donoghue Forlines LLC Invests $2.44 Million in Apple Inc. $AAPL,"Donoghue Forlines LLC has made a new investment in Apple Inc. (NASDAQ:AAPL), purchasing 9,575 shares valued at approximately $2.44 million during the third quarter. This investment makes Apple the 19th largest holding for Donoghue Forlines LLC, representing 0.7% of their portfolio. Other institutional investors have also adjusted their holdings in Apple, and analysts have set various price targets, with a consensus of ""Moderate Buy"" and an average target of $292.13.",MarketBeat,0.17681,Somewhat-Bullish,1.000000
20260214T085632,Formidable Asset Management LLC Has $51.70 Million Position in Apple Inc. $AAPL,"Formidable Asset Management LLC has trimmed its stake in Apple Inc. by 3.5% in the third quarter, reducing its holdings to 203,032 shares valued at $51.70 million, making Apple its largest position. Other institutional investors have shown mixed activity, with some increasing their positions modestly. Analysts have a ""Moderate Buy"" consensus rating with an average price target of $292.13 for Apple.",MarketBeat,0.225532,Somewhat-Bullish,1.000000
20260214T084422,Apple Inc. $AAPL is Florida Trust Wealth Management Co's 2nd Largest Position,"Florida Trust Wealth Management Co significantly increased its stake in Apple Inc. ($AAPL) by 1.5% in the third quarter, making Apple its second-largest holding, valued at $168.9 million. Other institutional investors also adjusted their positions in Apple, which now represents 67.73% institutional ownership. Analyst ratings currently suggest a ""Moderate Buy"" for Apple, with a consensus price target of $292.13, following a quarter where the company exceeded earnings and revenue estimates.",MarketBeat,0.314222,Somewhat-Bullish,0.993513
20260214T083222,Apple Inc. $AAPL Shares Bought by Axecap Investments LLC,"Axecap Investments LLC significantly increased its stake in Apple Inc. during the third quarter, purchasing an additional 3,660 shares and bringing its total to 9,393 shares valued at approximately $2.39 million. This makes Apple the firm's 25th largest holding, representing 1.5% of its portfolio. The article also highlights Apple's recent strong quarterly results, showing $2.84 EPS against an expected $2.67 and revenue of $143.76 billion, alongside mixed near-term catalysts including iPhone sales momentum, a legal victory, but also delays in Siri upgrades and regulatory scrutiny.",MarketBeat,-0.082115,Neutral,0.984824
20260214T082747,Kurv Yield Premium Strategy Apple (AAPL) ETF (NYSEARCA:AAPY) Trading Down 2.8% – Here’s Why,"The Kurv Yield Premium Strategy Apple (AAPL) ETF (NYSEARCA:AAPY) saw its stock price trade down 2.8% on Friday, closing at $22.71 after reaching a low of $22.69. Trading volume for the day was 2,833 shares, a 42% decrease from its average. The ETF aims to provide current income and capped gains on Apple stock through a synthetic covered call strategy.",Defense World,-0.400647,Bearish,1.000000
20260214T082014,Apple Inc. $AAPL Shares Sold by Amalgamated Bank,"Amalgamated Bank reduced its stake in Apple Inc. ($AAPL) by 0.7% in the third quarter, selling 22,619 shares but still holding over 3.3 million shares valued at approximately $840.9 million, making it their third-largest position. Despite this, Apple reported strong quarterly earnings, surpassing expectations with $2.84 EPS and $143.76 billion in revenue, driven by robust iPhone sales. The article notes ongoing analyst support for Apple, with a consensus ""Moderate Buy"" rating, but also highlights near-term risks such as delays in Siri AI upgrades and regulatory scrutiny of Apple News.",MarketBeat,0.158012,Somewhat-Bullish,1.000000
20260214T055721,The Truth About LG Display Co Ltd (ADR): Is This Screen Giant Finally Worth Your Money?,"This article evaluates whether LG Display Co Ltd (ADR) (LPL) stock is a worthwhile investment. It highlights LG Display's leadership in large OLED panels and its ventures into transparent and automotive displays, while also acknowledging the volatile nature of panel pricing and intense competition with Samsung. The author concludes that LPL is a high-risk, high-reward ""turnaround swing"" stock suitable for investors willing to tolerate volatility, rather than a safe buy.",AD HOC NEWS,0.112326,Neutral,1.000000
20260214T035802,$122 Million Quarterly Profit and 7% to 9% Growth Target: Why NJR Stock Is a $34 Million Portfolio Bet,"Bragg Financial Advisors recently acquired 205,627 shares of New Jersey Resources (NJR), a move valued at an estimated $9.50 million, increasing their stake to 744,279 shares worth $34.33 million. This strategic investment highlights NJR's strong performance, including a $122.5 million quarterly net income and consistent earnings growth targeting 7% to 9% annually. NJR operates a diversified model encompassing natural gas distribution, renewable energy projects, and energy management, appealing to long-term investors seeking steady cash flow.",The Globe and Mail,0.36403,Bullish,1.000000
20260214T005718,"Liberty All-Star® Growth Fund, Inc. January 2026 Monthly Update","The Liberty All-Star® Growth Fund, Inc. (NYSE: ASG) released its January 2026 Monthly Update, detailing its investment approach which combines three growth style managers focusing on small-, mid-, and large-cap companies. The update includes the top 20 holdings, monthly performance, net assets, sector breakdown, and changes in its portfolio with new holdings and liquidated positions.",Business Wire,0.288813,Somewhat-Bullish,1.000000
20260214T002659,STATE STREET CORP Acquires Additional Shares in Agios Pharmaceuticals Inc,"STATE STREET CORP acquired an additional 845,433 shares of Agios Pharmaceuticals Inc at $27.22 per share, increasing its holding to 3,108,145 shares, or 5.30% of its portfolio. Agios Pharmaceuticals specializes in developing medicines for rare diseases, particularly in classical hematology. While the transaction shows confidence in Agios, the company faces financial challenges, with a ""possible value trap"" GF Valuation and a GF Score of 53/100 indicating poor future performance potential.",GuruFocus,0.260296,Somewhat-Bullish,1.000000
